text,label
Direction Parakou depuis Natitingou,TRIP
Quels sont les horaires,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
J’ai besoin d’un billet de Bohicon à Natitingou,TRIP
Je voudrais voyager de Porto-Novo vers Djougou,TRIP
J’ai besoin d’un billet de Natitingou à Abomey-Calavi,TRIP
Comment fonctionne l’application,NOT_TRIP
Mon frère est à Parakou,NOT_TRIP
Mon frère est à Bohicon,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Comment fonctionne l’application,NOT_TRIP
D’accord,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Parakou Natitingou,TRIP
Je veux aller de Parakou à Natitingou,TRIP
Je voudrais voyager de Cotonou vers Djougou,TRIP
Je ne voyage plus,NOT_TRIP
Je voudrais voyager de Natitingou vers Porto-Novo,TRIP
Je voulais juste demander une information,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Je pars demain de Porto-Novo pour Djougou,TRIP
Comment fonctionne l’application,NOT_TRIP
Comment fonctionne l’application,NOT_TRIP
Merci beaucoup,NOT_TRIP
D’accord,NOT_TRIP
Voyage prévu entre Parakou et Natitingou,TRIP
Mon frère est à Porto-Novo,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Je voudrais voyager de Bohicon vers Natitingou,TRIP
Je pars demain de Abomey-Calavi pour Natitingou,TRIP
Mon frère est à Parakou,NOT_TRIP
J’ai besoin d’un billet de Cotonou à Natitingou,TRIP
Trajet Porto-Novo Cotonou,TRIP
Aller à Natitingou depuis Parakou,TRIP
Mon frère est à Natitingou,NOT_TRIP
Aller à Parakou depuis Cotonou,TRIP
Direction Porto-Novo depuis Abomey-Calavi,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Voyage prévu entre Cotonou et Lokossa,TRIP
Comment fonctionne l’application,NOT_TRIP
Aller à Abomey-Calavi depuis Lokossa,TRIP
Je ne voyage plus,NOT_TRIP
Direction Bohicon depuis Djougou,TRIP
Je voudrais voyager de Bohicon vers Djougou,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Mon frère est à Djougou,NOT_TRIP
Mon frère est à Abomey-Calavi,NOT_TRIP
Trajet Abomey-Calavi Natitingou,TRIP
Comment aller de Parakou à Cotonou,TRIP
Mon frère est à Parakou,NOT_TRIP
Natitingou Bohicon,TRIP
Bohicon Natitingou,TRIP
Porto-Novo Parakou,TRIP
Je veux aller de Lokossa à Bohicon,TRIP
Trajet Natitingou Djougou,TRIP
Direction Cotonou depuis Djougou,TRIP
Comment fonctionne l’application,NOT_TRIP
Trajet Porto-Novo Bohicon,TRIP
Quels sont les horaires,NOT_TRIP
Voyage prévu entre Bohicon et Lokossa,TRIP
Je ne voyage plus,NOT_TRIP
Finalement j’annule,NOT_TRIP
Aller à Porto-Novo depuis Cotonou,TRIP
Comment aller de Natitingou à Porto-Novo,TRIP
Comment aller de Natitingou à Porto-Novo,TRIP
Direction Natitingou depuis Bohicon,TRIP
D’accord,NOT_TRIP
Voyage prévu entre Natitingou et Djougou,TRIP
Aller à Bohicon depuis Parakou,TRIP
Direction Djougou depuis Cotonou,TRIP
Trajet Parakou Cotonou,TRIP
Merci beaucoup,NOT_TRIP
Je pars demain de Abomey-Calavi pour Porto-Novo,TRIP
J’ai besoin d’un billet de Djougou à Porto-Novo,TRIP
Direction Cotonou depuis Abomey-Calavi,TRIP
Je voudrais voyager de Bohicon vers Porto-Novo,TRIP
Trajet Bohicon Cotonou,TRIP
J’ai besoin d’un billet de Porto-Novo à Abomey-Calavi,TRIP
Comment aller de Abomey-Calavi à Bohicon,TRIP
Aller à Parakou depuis Porto-Novo,TRIP
Merci beaucoup,NOT_TRIP
D’accord,NOT_TRIP
Mon frère est à Natitingou,NOT_TRIP
Comment aller de Cotonou à Bohicon,TRIP
Je pars demain de Djougou pour Abomey-Calavi,TRIP
Aller à Abomey-Calavi depuis Djougou,TRIP
Merci beaucoup,NOT_TRIP
Direction Parakou depuis Bohicon,TRIP
Trajet Djougou Porto-Novo,TRIP
Je voudrais voyager de Djougou vers Parakou,TRIP
Bohicon Porto-Novo,TRIP
Trajet Cotonou Djougou,TRIP
Merci beaucoup,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
D’accord,NOT_TRIP
Je voudrais voyager de Cotonou vers Bohicon,TRIP
Comment fonctionne l’application,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Trajet Parakou Natitingou,TRIP
Je ne voyage plus,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Aller à Lokossa depuis Parakou,TRIP
Je veux aller de Bohicon à Djougou,TRIP
D’accord,NOT_TRIP
Quels sont les horaires,NOT_TRIP
D’accord,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Voyage prévu entre Porto-Novo et Djougou,TRIP
Comment aller de Parakou à Porto-Novo,TRIP
Je pars demain de Parakou pour Djougou,TRIP
Je pars demain de Natitingou pour Parakou,TRIP
Ok merci,NOT_TRIP
Je voudrais voyager de Djougou vers Lokossa,TRIP
Aller à Porto-Novo depuis Natitingou,TRIP
Mon frère est à Parakou,NOT_TRIP
Je veux aller de Porto-Novo à Abomey-Calavi,TRIP
Comment fonctionne l’application,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Voyage prévu entre Lokossa et Bohicon,TRIP
Ok merci,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Merci beaucoup,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Trajet Parakou Djougou,TRIP
Aller à Cotonou depuis Parakou,TRIP
Voyage prévu entre Lokossa et Natitingou,TRIP
Je ne voyage plus,NOT_TRIP
D’accord,NOT_TRIP
Je veux aller de Djougou à Cotonou,TRIP
Voyage prévu entre Cotonou et Parakou,TRIP
Comment fonctionne l’application,NOT_TRIP
Finalement j’annule,NOT_TRIP
Trajet Abomey-Calavi Cotonou,TRIP
Direction Djougou depuis Lokossa,TRIP
Quels sont les horaires,NOT_TRIP
Merci beaucoup,NOT_TRIP
Je pars demain de Porto-Novo pour Natitingou,TRIP
Je pars demain de Abomey-Calavi pour Natitingou,TRIP
Comment fonctionne l’application,NOT_TRIP
Je veux aller de Parakou à Abomey-Calavi,TRIP
Trajet Djougou Natitingou,TRIP
Aller à Parakou depuis Natitingou,TRIP
J’ai besoin d’un billet de Natitingou à Lokossa,TRIP
Direction Natitingou depuis Cotonou,TRIP
Ok merci,NOT_TRIP
Aller à Natitingou depuis Bohicon,TRIP
Merci beaucoup,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Direction Djougou depuis Parakou,TRIP
Direction Djougou depuis Natitingou,TRIP
Merci beaucoup,NOT_TRIP
Je veux aller de Djougou à Porto-Novo,TRIP
Comment fonctionne l’application,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Ok merci,NOT_TRIP
Je veux aller de Parakou à Abomey-Calavi,TRIP
Comment fonctionne l’application,NOT_TRIP
Trajet Cotonou Djougou,TRIP
Je pars demain de Bohicon pour Abomey-Calavi,TRIP
Je voudrais voyager de Abomey-Calavi vers Cotonou,TRIP
Je pars demain de Lokossa pour Abomey-Calavi,TRIP
Voyage prévu entre Parakou et Cotonou,TRIP
Voyage prévu entre Natitingou et Cotonou,TRIP
Trajet Abomey-Calavi Porto-Novo,TRIP
Ok merci,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Direction Lokossa depuis Parakou,TRIP
Je voulais juste demander une information,NOT_TRIP
Voyage prévu entre Parakou et Lokossa,TRIP
Parakou Abomey-Calavi,TRIP
Direction Parakou depuis Lokossa,TRIP
Merci beaucoup,NOT_TRIP
Direction Porto-Novo depuis Natitingou,TRIP
Voyage prévu entre Natitingou et Porto-Novo,TRIP
Ok merci,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Finalement j’annule,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Lokossa Bohicon,TRIP
Direction Porto-Novo depuis Lokossa,TRIP
Voyage prévu entre Natitingou et Lokossa,TRIP
Je ne voyage plus,NOT_TRIP
Comment aller de Abomey-Calavi à Natitingou,TRIP
D’accord,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Trajet Djougou Parakou,TRIP
Comment fonctionne l’application,NOT_TRIP
Je pars demain de Porto-Novo pour Bohicon,TRIP
Ok merci,NOT_TRIP
Finalement j’annule,NOT_TRIP
Voyage prévu entre Cotonou et Parakou,TRIP
Finalement j’annule,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Voyage prévu entre Djougou et Bohicon,TRIP
Direction Cotonou depuis Lokossa,TRIP
Comment fonctionne l’application,NOT_TRIP
Mon frère est à Natitingou,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Ok merci,NOT_TRIP
Cotonou Djougou,TRIP
Je veux aller de Porto-Novo à Parakou,TRIP
Direction Natitingou depuis Djougou,TRIP
Je ne voyage plus,NOT_TRIP
D’accord,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Ok merci,NOT_TRIP
Natitingou Djougou,TRIP
Merci beaucoup,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Ok merci,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Mon frère est à Parakou,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Je veux aller de Parakou à Bohicon,TRIP
Comment aller de Djougou à Cotonou,TRIP
Je pars demain de Parakou pour Abomey-Calavi,TRIP
Comment aller de Djougou à Porto-Novo,TRIP
Voyage prévu entre Natitingou et Abomey-Calavi,TRIP
Je voulais juste demander une information,NOT_TRIP
Ok merci,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Merci beaucoup,NOT_TRIP
Voyage prévu entre Cotonou et Natitingou,TRIP
Voyage prévu entre Parakou et Lokossa,TRIP
Merci beaucoup,NOT_TRIP
Ok merci,NOT_TRIP
Je voudrais voyager de Lokossa vers Cotonou,TRIP
Voyage prévu entre Cotonou et Bohicon,TRIP
Finalement j’annule,NOT_TRIP
Je veux aller de Cotonou à Abomey-Calavi,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Trajet Natitingou Bohicon,TRIP
Ok merci,NOT_TRIP
Finalement j’annule,NOT_TRIP
Cotonou Porto-Novo,TRIP
Direction Natitingou depuis Cotonou,TRIP
Trajet Cotonou Porto-Novo,TRIP
D’accord,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Merci beaucoup,NOT_TRIP
Aller à Parakou depuis Porto-Novo,TRIP
Aller à Lokossa depuis Natitingou,TRIP
J’ai besoin d’un billet de Cotonou à Lokossa,TRIP
Je voudrais voyager de Abomey-Calavi vers Parakou,TRIP
Finalement j’annule,NOT_TRIP
Mon frère est à Djougou,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Mon frère est à Bohicon,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
J’ai besoin d’un billet de Lokossa à Bohicon,TRIP
Trajet Bohicon Djougou,TRIP
Voyage prévu entre Porto-Novo et Parakou,TRIP
Finalement j’annule,NOT_TRIP
Finalement j’annule,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je voudrais voyager de Abomey-Calavi vers Cotonou,TRIP
Comment aller de Porto-Novo à Lokossa,TRIP
Je voudrais voyager de Cotonou vers Abomey-Calavi,TRIP
Je veux aller de Bohicon à Parakou,TRIP
Je voudrais voyager de Natitingou vers Bohicon,TRIP
Mon frère est à Parakou,NOT_TRIP
Direction Djougou depuis Lokossa,TRIP
Ok merci,NOT_TRIP
Je voudrais voyager de Porto-Novo vers Natitingou,TRIP
Comment aller de Abomey-Calavi à Bohicon,TRIP
Je voudrais voyager de Porto-Novo vers Natitingou,TRIP
Je ne voyage plus,NOT_TRIP
Comment fonctionne l’application,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Direction Cotonou depuis Natitingou,TRIP
Je voudrais voyager de Porto-Novo vers Cotonou,TRIP
Mon frère est à Bohicon,NOT_TRIP
Mon frère est à Abomey-Calavi,NOT_TRIP
Je veux aller de Parakou à Bohicon,TRIP
Trajet Cotonou Djougou,TRIP
Je pars demain de Natitingou pour Lokossa,TRIP
Aller à Djougou depuis Cotonou,TRIP
Je ne voyage plus,NOT_TRIP
Mon frère est à Parakou,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Aller à Parakou depuis Lokossa,TRIP
Je voudrais voyager de Djougou vers Cotonou,TRIP
Cotonou Natitingou,TRIP
Comment fonctionne l’application,NOT_TRIP
Quels sont les horaires,NOT_TRIP
J’ai besoin d’un billet de Djougou à Natitingou,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Ok merci,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Je voudrais voyager de Cotonou vers Porto-Novo,TRIP
Je voudrais voyager de Porto-Novo vers Parakou,TRIP
Ok merci,NOT_TRIP
Trajet Parakou Lokossa,TRIP
Je pars demain de Bohicon pour Cotonou,TRIP
Direction Bohicon depuis Porto-Novo,TRIP
Voyage prévu entre Abomey-Calavi et Bohicon,TRIP
Voyage prévu entre Bohicon et Lokossa,TRIP
Je ne voyage plus,NOT_TRIP
D’accord,NOT_TRIP
Voyage prévu entre Djougou et Lokossa,TRIP
Finalement j’annule,NOT_TRIP
Trajet Djougou Parakou,TRIP
Finalement j’annule,NOT_TRIP
Trajet Djougou Lokossa,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Quels sont les horaires,NOT_TRIP
J’ai besoin d’un billet de Natitingou à Bohicon,TRIP
Comment fonctionne l’application,NOT_TRIP
Je ne voyage plus,NOT_TRIP
J’ai besoin d’un billet de Porto-Novo à Lokossa,TRIP
Merci beaucoup,NOT_TRIP
J’ai besoin d’un billet de Lokossa à Cotonou,TRIP
Je pars demain de Cotonou pour Bohicon,TRIP
Voyage prévu entre Bohicon et Parakou,TRIP
Voyage prévu entre Cotonou et Abomey-Calavi,TRIP
Merci beaucoup,NOT_TRIP
Comment aller de Abomey-Calavi à Djougou,TRIP
Aller à Bohicon depuis Djougou,TRIP
Trajet Lokossa Abomey-Calavi,TRIP
J’ai besoin d’un billet de Porto-Novo à Cotonou,TRIP
Direction Porto-Novo depuis Parakou,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Cotonou Bohicon,TRIP
Je pars demain de Natitingou pour Djougou,TRIP
Je pars demain de Parakou pour Cotonou,TRIP
D’accord,NOT_TRIP
Ok merci,NOT_TRIP
Trajet Porto-Novo Abomey-Calavi,TRIP
Direction Lokossa depuis Parakou,TRIP
Abomey-Calavi Parakou,TRIP
Comment aller de Porto-Novo à Bohicon,TRIP
Porto-Novo Parakou,TRIP
D’accord,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je ne voyage plus,NOT_TRIP
J’ai besoin d’un billet de Djougou à Abomey-Calavi,TRIP
D’accord,NOT_TRIP
Je veux aller de Parakou à Bohicon,TRIP
Comment fonctionne l’application,NOT_TRIP
Mon frère est à Djougou,NOT_TRIP
Voyage prévu entre Abomey-Calavi et Parakou,TRIP
Comment fonctionne l’application,NOT_TRIP
Ok merci,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
J’ai besoin d’un billet de Parakou à Abomey-Calavi,TRIP
Aller à Porto-Novo depuis Abomey-Calavi,TRIP
Bohicon Lokossa,TRIP
Direction Lokossa depuis Cotonou,TRIP
Direction Natitingou depuis Parakou,TRIP
J’ai besoin d’un billet de Abomey-Calavi à Lokossa,TRIP
Quels sont les horaires,NOT_TRIP
Ok merci,NOT_TRIP
Direction Cotonou depuis Porto-Novo,TRIP
Quels sont les horaires,NOT_TRIP
Je pars demain de Natitingou pour Parakou,TRIP
Direction Natitingou depuis Cotonou,TRIP
Je voudrais voyager de Cotonou vers Abomey-Calavi,TRIP
Ok merci,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Je veux aller de Cotonou à Natitingou,TRIP
Ok merci,NOT_TRIP
D’accord,NOT_TRIP
Voyage prévu entre Abomey-Calavi et Parakou,TRIP
Quels sont les horaires,NOT_TRIP
Ok merci,NOT_TRIP
Mon frère est à Cotonou,NOT_TRIP
Mon frère est à Parakou,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Je veux aller de Porto-Novo à Abomey-Calavi,TRIP
Comment fonctionne l’application,NOT_TRIP
Voyage prévu entre Djougou et Bohicon,TRIP
D’accord,NOT_TRIP
Je veux aller de Cotonou à Djougou,TRIP
Je pars demain de Parakou pour Djougou,TRIP
Lokossa Cotonou,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Cotonou Abomey-Calavi,TRIP
Finalement j’annule,NOT_TRIP
Aller à Lokossa depuis Parakou,TRIP
Ok merci,NOT_TRIP
Bohicon Porto-Novo,TRIP
Aller à Porto-Novo depuis Bohicon,TRIP
Quels sont les horaires,NOT_TRIP
Comment aller de Bohicon à Cotonou,TRIP
Abomey-Calavi Cotonou,TRIP
J’ai besoin d’un billet de Cotonou à Lokossa,TRIP
Comment fonctionne l’application,NOT_TRIP
J’ai besoin d’un billet de Parakou à Cotonou,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Ok merci,NOT_TRIP
Comment fonctionne l’application,NOT_TRIP
Je pars demain de Natitingou pour Djougou,TRIP
Finalement j’annule,NOT_TRIP
Comment aller de Djougou à Lokossa,TRIP
Je pars demain de Djougou pour Lokossa,TRIP
Aller à Abomey-Calavi depuis Bohicon,TRIP
Abomey-Calavi Natitingou,TRIP
Je veux aller de Porto-Novo à Djougou,TRIP
Je pars demain de Natitingou pour Abomey-Calavi,TRIP
Voyage prévu entre Djougou et Lokossa,TRIP
Comment fonctionne l’application,NOT_TRIP
Comment aller de Lokossa à Natitingou,TRIP
Trajet Cotonou Porto-Novo,TRIP
J’ai besoin d’un billet de Djougou à Porto-Novo,TRIP
Comment aller de Abomey-Calavi à Bohicon,TRIP
Aller à Abomey-Calavi depuis Porto-Novo,TRIP
Finalement j’annule,NOT_TRIP
Porto-Novo Lokossa,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Mon frère est à Abomey-Calavi,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Comment aller de Cotonou à Porto-Novo,TRIP
J’ai besoin d’un billet de Cotonou à Djougou,TRIP
Voyage prévu entre Porto-Novo et Abomey-Calavi,TRIP
Je veux aller de Lokossa à Abomey-Calavi,TRIP
Djougou Lokossa,TRIP
Mon frère est à Abomey-Calavi,NOT_TRIP
Trajet Parakou Natitingou,TRIP
Ok merci,NOT_TRIP
Finalement j’annule,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Direction Parakou depuis Cotonou,TRIP
Je voudrais voyager de Abomey-Calavi vers Natitingou,TRIP
Direction Lokossa depuis Abomey-Calavi,TRIP
Je voulais juste demander une information,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Direction Natitingou depuis Porto-Novo,TRIP
Lokossa Parakou,TRIP
D’accord,NOT_TRIP
Finalement j’annule,NOT_TRIP
Lokossa Bohicon,TRIP
Je pars demain de Natitingou pour Porto-Novo,TRIP
Quels sont les horaires,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Merci beaucoup,NOT_TRIP
Merci beaucoup,NOT_TRIP
Mon frère est à Lokossa,NOT_TRIP
Ok merci,NOT_TRIP
Trajet Parakou Porto-Novo,TRIP
Je ne voyage plus,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Je pars demain de Natitingou pour Parakou,TRIP
Comment fonctionne l’application,NOT_TRIP
Mon frère est à Lokossa,NOT_TRIP
Comment fonctionne l’application,NOT_TRIP
Je veux aller de Natitingou à Cotonou,TRIP
Merci beaucoup,NOT_TRIP
Merci beaucoup,NOT_TRIP
Trajet Bohicon Natitingou,TRIP
Je veux aller de Djougou à Porto-Novo,TRIP
Voyage prévu entre Porto-Novo et Lokossa,TRIP
Je voulais juste demander une information,NOT_TRIP
Parakou Bohicon,TRIP
J’ai besoin d’un billet de Natitingou à Djougou,TRIP
Je veux aller de Lokossa à Porto-Novo,TRIP
Quels sont les horaires,NOT_TRIP
Aller à Cotonou depuis Lokossa,TRIP
Je voulais juste demander une information,NOT_TRIP
Ok merci,NOT_TRIP
Comment aller de Natitingou à Cotonou,TRIP
Direction Porto-Novo depuis Bohicon,TRIP
Je ne voyage plus,NOT_TRIP
Comment fonctionne l’application,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Ok merci,NOT_TRIP
